iter	Logloss
0	0.5796629229
1	0.5233724788
2	0.4862601897
3	0.4600723797
4	0.4431954414
5	0.433347336
6	0.42634159
7	0.4207742505
8	0.4152781133
9	0.4134629876
10	0.411624326
11	0.4097489212
12	0.4085484328
13	0.4075091832
14	0.4058858411
15	0.4039566726
16	0.4024160107
17	0.4018632382
18	0.4006456425
19	0.399763272
20	0.3992060666
21	0.3985951491
22	0.3982123912
23	0.3976711112
24	0.3972008107
25	0.3966891771
26	0.3961028461
27	0.3952686055
28	0.3948316893
29	0.3943883786
30	0.3938289406
31	0.392721411
32	0.392244833
33	0.3916653374
34	0.3911347925
35	0.390554665
36	0.3899385105
37	0.3894471303
38	0.3885637088
39	0.3877927886
40	0.3873185997
41	0.3870377625
42	0.3863359565
43	0.3860034296
44	0.3855392546
45	0.3851923124
46	0.3849648866
47	0.3845097084
48	0.3841995493
49	0.3838408005
50	0.3834570453
51	0.3827487793
52	0.3823918893
53	0.3820237191
54	0.3816449115
55	0.3813550023
56	0.3811225426
57	0.3807293166
58	0.3806669372
59	0.3804520437
60	0.3801754024
61	0.3799092027
62	0.3792983576
63	0.3787778512
64	0.3785544461
65	0.3783151161
66	0.3779464398
67	0.3777597542
68	0.3774301688
69	0.3767942983
70	0.3764909283
71	0.3762864809
72	0.3759835505
73	0.3757159314
74	0.3755389309
75	0.3752507282
76	0.3750627564
77	0.3746211389
78	0.3743587483
79	0.3741714835
80	0.3738887985
81	0.3734250523
82	0.3733080808
83	0.3729615007
84	0.3727472512
85	0.3725630262
86	0.3724632897
87	0.3722217819
88	0.3719374027
89	0.3717089925
90	0.3715464411
91	0.3713650008
92	0.3711783326
93	0.370893146
94	0.3707318951
95	0.3705152195
96	0.3698728808
97	0.3695013069
98	0.3692969198
99	0.3688144173
