iter	Passed	Remaining
0	7	742
1	15	765
2	24	798
3	33	810
4	37	710
5	40	641
6	44	587
7	47	545
8	50	511
9	53	482
10	56	457
11	59	436
12	62	417
13	64	393
14	65	373
15	67	355
16	69	339
17	71	324
18	73	311
19	74	299
20	76	289
21	78	278
22	80	269
23	82	260
24	83	251
25	85	243
26	87	236
27	89	228
28	90	222
29	92	216
30	94	210
31	96	204
32	98	199
33	99	193
34	101	188
35	103	183
36	105	179
37	107	175
38	109	170
39	110	166
40	112	162
41	114	158
42	116	154
43	118	150
44	120	146
45	121	142
46	123	139
47	125	135
48	127	132
49	128	128
50	130	125
51	132	122
52	134	119
53	136	115
54	137	112
55	139	109
56	141	106
57	143	103
58	144	100
59	146	97
60	148	94
61	150	92
62	152	89
63	153	86
64	155	83
65	157	81
66	159	78
67	160	75
68	162	73
69	164	70
70	166	67
71	167	65
72	169	62
73	171	60
74	173	57
75	174	55
76	176	52
77	181	51
78	183	48
79	185	46
80	186	43
81	188	41
82	190	38
83	192	36
84	194	34
85	195	31
86	197	29
87	199	27
88	201	24
89	203	22
90	204	20
91	206	17
92	208	15
93	210	13
94	212	11
95	213	8
96	215	6
97	217	4
98	219	2
99	221	0
